time,gFx,gFy,gFz,gFTotal,walker
87.32247400283813,-0.439,0.804,-0.1,0.921,daniel
87.33349299430847,-0.458,0.799,-0.104,0.927,daniel
87.34311985969543,-0.456,0.828,-0.118,0.953,daniel
87.35325407981873,-0.45,0.831,-0.136,0.955,daniel
87.36370491981506,-0.449,0.835,-0.153,0.96,daniel
87.37371301651001,-0.444,0.836,-0.15,0.958,daniel
87.40625405311584,-0.459,0.839,-0.154,0.969,daniel
87.40650486946106,-0.459,0.839,-0.154,0.969,daniel
87.40673613548279,-0.459,0.839,-0.154,0.969,daniel
87.41272306442261,-0.496,0.835,-0.171,0.986,daniel
87.42401599884033,-0.533,0.832,-0.206,1.009,daniel
87.43355298042297,-0.543,0.833,-0.239,1.023,daniel
87.44346499443054,-0.534,0.844,-0.236,1.026,daniel
87.45357584953308,-0.481,0.876,-0.193,1.018,daniel
87.4644181728363,-0.449,0.925,-0.119,1.035,daniel
87.47403311729431,-0.441,0.965,-0.083,1.064,daniel
87.48733019828796,-0.422,0.967,-0.099,1.06,daniel
87.51090097427368,-0.462,0.908,-0.172,1.033,daniel
87.51120209693909,-0.462,0.908,-0.172,1.033,daniel
87.51308298110962,-0.506,0.895,-0.174,1.043,daniel
87.52331614494324,-0.555,0.893,-0.145,1.061,daniel
87.53446412086487,-0.6,0.896,-0.122,1.085,daniel
87.5438621044159,-0.634,0.907,-0.103,1.111,daniel
87.55383801460266,-0.679,0.916,-0.086,1.143,daniel
87.56434893608093,-0.726,0.931,-0.077,1.183,daniel
87.5748221874237,-0.763,0.938,-0.057,1.21,daniel
87.58787202835083,-0.798,0.95,-0.037,1.241,daniel
87.61113095283508,-0.847,0.962,-0.133,1.289,daniel
87.61139512062073,-0.847,0.962,-0.133,1.289,daniel
87.6131980419159,-0.84,0.942,-0.196,1.277,daniel
87.62374186515808,-0.819,0.935,-0.178,1.256,daniel
87.63419198989868,-0.792,0.94,-0.116,1.235,daniel
87.64409613609314,-0.713,0.943,-0.041,1.183,daniel
87.65414690971375,-0.592,0.949,0.037,1.119,daniel
87.66487193107605,-0.484,1.002,0.042,1.114,daniel
87.67469501495361,-0.363,1.057,0.093,1.121,daniel
87.70730805397034,-0.166,1.305,0.223,1.334,daniel
87.7075560092926,-0.166,1.305,0.223,1.334,daniel
87.70781803131104,-0.166,1.305,0.223,1.334,daniel
87.71357893943787,-0.188,1.316,0.179,1.341,daniel
87.72438216209412,-0.253,1.228,0.109,1.259,daniel
87.73485112190247,-0.376,1.176,0.109,1.239,daniel
87.74436402320862,-0.465,1.163,0.115,1.258,daniel
87.75473809242249,-0.511,1.153,0.131,1.268,daniel
87.76542401313782,-0.553,1.111,0.16,1.251,daniel
87.77491116523743,-0.566,1.049,0.154,1.202,daniel
87.80964708328247,-0.63,0.992,0.128,1.182,daniel
87.80988717079163,-0.63,0.992,0.128,1.182,daniel
87.81011605262756,-0.63,0.992,0.128,1.182,daniel
87.81411004066467,-0.591,0.935,0.13,1.114,daniel
87.8246681690216,-0.519,0.857,0.12,1.009,daniel
87.83505201339722,-0.517,0.808,0.105,0.965,daniel
87.84503293037415,-0.507,0.772,0.104,0.929,daniel
87.85491490364075,-0.453,0.722,0.102,0.858,daniel
87.8658549785614,-0.431,0.682,0.093,0.812,daniel
87.8753490447998,-0.408,0.648,0.08,0.77,daniel
87.90844106674194,-0.4,0.531,0.055,0.667,daniel
87.90868401527405,-0.4,0.531,0.055,0.667,daniel
87.90891003608704,-0.4,0.531,0.055,0.667,daniel
87.91447186470032,-0.415,0.514,0.074,0.665,daniel
87.92509198188782,-0.447,0.506,0.092,0.681,daniel
87.9351110458374,-0.462,0.525,0.103,0.707,daniel
87.9451060295105,-0.395,0.459,0.087,0.612,daniel
87.95542788505554,-0.346,0.421,0.099,0.554,daniel
87.96609401702881,-0.293,0.468,0.132,0.568,daniel
87.97555088996887,-0.21,0.477,0.133,0.538,daniel
87.99002718925476,-0.168,0.403,0.114,0.451,daniel
88.01440691947937,-0.214,0.478,0.189,0.557,daniel
88.01497602462769,-0.214,0.478,0.189,0.557,daniel
88.01609492301941,-0.214,0.478,0.189,0.557,daniel
88.02503800392151,-0.277,0.469,0.217,0.586,daniel
88.03538298606873,-0.315,0.48,0.246,0.625,daniel
88.04597806930542,-0.352,0.483,0.27,0.656,daniel
88.05561518669128,-0.455,0.457,0.287,0.706,daniel
88.06617307662964,-0.532,0.443,0.299,0.754,daniel
88.07589101791382,-0.544,0.469,0.35,0.799,daniel
88.10984897613525,-0.764,0.582,0.556,1.11,daniel
88.11012291908264,-0.764,0.582,0.556,1.11,daniel
88.11047697067261,-0.764,0.582,0.556,1.11,daniel
88.11533188819885,-0.997,0.704,0.551,1.339,daniel
88.12564396858215,-1.28,0.89,0.603,1.672,daniel
88.13601207733154,-1.49,1.058,0.622,1.93,daniel
88.14625811576843,-1.593,1.149,0.537,2.036,daniel
88.1558039188385,-1.556,1.149,0.445,1.985,daniel
88.16659498214722,-1.373,1.014,0.448,1.765,daniel
88.17631793022156,-1.181,0.811,0.412,1.491,daniel
88.1897029876709,-1.074,0.721,0.314,1.331,daniel
88.21291613578796,-0.959,0.993,0.235,1.4,daniel
88.21317100524902,-0.959,0.993,0.235,1.4,daniel
88.21558594703674,-0.929,1.224,0.235,1.554,daniel
88.22557997703552,-0.86,1.41,0.181,1.661,daniel
88.2359709739685,-0.75,1.531,0.074,1.706,daniel
88.24637508392334,-0.61,1.574,0.02,1.688,daniel
88.25618600845337,-0.445,1.548,0.111,1.615,daniel
88.2664749622345,-0.287,1.297,0.225,1.347,daniel
88.27656197547913,-0.164,0.943,0.118,0.964,daniel
88.31094002723694,0.11,0.771,-0.282,0.828,daniel
88.3112051486969,0.11,0.771,-0.282,0.828,daniel
88.31143999099731,0.11,0.771,-0.282,0.828,daniel
88.3161199092865,0.145,0.726,-0.285,0.793,daniel
88.3263189792633,0.111,0.727,-0.241,0.774,daniel
88.33658814430237,0.093,0.72,-0.119,0.736,daniel
88.34660005569458,0.03,0.647,0.015,0.648,daniel
88.3564829826355,-0.109,0.583,0.086,0.599,daniel
88.36715507507324,-0.338,0.621,0.062,0.71,daniel
88.37693285942078,-0.543,0.761,-0.053,0.936,daniel
88.4128348827362,-0.561,0.918,-0.265,1.108,daniel
88.41308307647705,-0.561,0.918,-0.265,1.108,daniel
88.41332411766052,-0.561,0.918,-0.265,1.108,daniel
88.4160668849945,-0.483,0.878,-0.228,1.028,daniel
88.42663788795471,-0.419,0.837,-0.135,0.946,daniel
88.43672919273376,-0.411,0.795,-0.049,0.896,daniel
88.44676303863525,-0.437,0.772,0.003,0.887,daniel
88.45702600479126,-0.465,0.78,0.029,0.909,daniel
88.46744799613953,-0.468,0.821,0.024,0.945,daniel
88.4772560596466,-0.464,0.874,0.019,0.99,daniel
88.51429605484009,-0.429,0.828,-0.039,0.933,daniel
88.51453518867493,-0.429,0.828,-0.039,0.933,daniel
88.51476001739502,-0.429,0.828,-0.039,0.933,daniel
88.51655697822571,-0.453,0.817,-0.054,0.936,daniel
88.52665495872498,-0.491,0.801,-0.076,0.943,daniel
88.53703498840332,-0.5,0.802,-0.097,0.95,daniel
88.54724192619324,-0.494,0.81,-0.123,0.957,daniel
88.55732989311218,-0.454,0.831,-0.155,0.96,daniel
88.5676281452179,-0.412,0.867,-0.155,0.972,daniel
88.57752919197083,-0.373,0.882,-0.142,0.968,daniel
88.59106087684631,-0.361,0.867,-0.11,0.946,daniel
88.61556601524353,-0.41,0.822,-0.048,0.92,daniel
88.61580300331116,-0.41,0.822,-0.048,0.92,daniel
88.61723685264587,-0.441,0.835,-0.048,0.946,daniel
88.63585019111633,-0.446,0.864,-0.048,0.974,daniel
88.63778805732727,-0.463,0.871,-0.092,0.991,daniel
88.65024209022522,-0.46,0.866,-0.1,0.986,daniel
88.65741896629333,-0.444,0.836,-0.13,0.955,daniel
88.66765904426575,-0.426,0.821,-0.121,0.933,daniel
88.67805695533752,-0.434,0.822,-0.137,0.94,daniel
88.71287894248962,-0.535,0.798,-0.232,0.988,daniel
88.71303915977478,-0.535,0.798,-0.232,0.988,daniel
88.71319007873535,-0.535,0.798,-0.232,0.988,daniel
88.71680498123169,-0.599,0.808,-0.273,1.042,daniel
88.72733306884766,-0.654,0.842,-0.27,1.1,daniel
88.73775315284729,-0.68,0.89,-0.179,1.134,daniel
88.74801397323608,-0.644,0.914,-0.064,1.12,daniel
88.75792717933655,-0.587,0.934,-0.058,1.105,daniel
88.76821112632751,-0.608,0.941,-0.135,1.128,daniel
88.77837705612183,-0.64,0.942,-0.217,1.159,daniel
88.7916190624237,-0.569,0.964,-0.204,1.138,daniel
88.81512188911438,-0.593,1.021,-0.138,1.189,daniel
88.81538105010986,-0.593,1.021,-0.138,1.189,daniel
88.81740403175354,-0.697,1.054,-0.107,1.268,daniel
88.83583498001099,-0.78,1.091,-0.026,1.341,daniel
88.83787798881531,-0.834,1.073,0.035,1.359,daniel
88.85052514076233,-0.851,1.034,-0.032,1.34,daniel
88.85837006568909,-0.831,1.016,-0.159,1.322,daniel
88.86875319480896,-0.793,0.989,-0.211,1.285,daniel
88.87865996360779,-0.861,0.938,-0.196,1.288,daniel
88.89217019081116,-0.907,0.933,-0.151,1.31,daniel
88.91512107849121,-0.584,1.123,-0.035,1.266,daniel
88.91536498069763,-0.584,1.123,-0.035,1.266,daniel
88.91775703430176,-0.438,1.095,0.071,1.181,daniel
88.9343159198761,-0.299,1.008,0.084,1.055,daniel
88.93819689750671,-0.187,0.913,0.136,0.942,daniel
88.9497480392456,-0.119,0.84,0.2,0.872,daniel
88.95866203308105,-0.129,0.836,0.206,0.871,daniel
88.96870303153992,-0.208,0.886,0.167,0.925,daniel
88.97901892662048,-0.288,0.954,0.085,1.0,daniel
88.99240398406982,-0.341,1.002,0.012,1.059,daniel
89.01594996452332,-0.402,1.153,0.076,1.223,daniel
89.01621413230896,-0.402,1.153,0.076,1.223,daniel
89.01811599731445,-0.439,1.2,0.096,1.281,daniel
89.03606820106506,-0.453,1.229,0.12,1.315,daniel
89.03842997550964,-0.502,1.235,0.079,1.335,daniel
89.05004906654358,-0.59,1.147,0.04,1.29,daniel
89.05915808677673,-0.605,1.021,0.013,1.187,daniel
89.06902503967285,-0.587,0.951,0.036,1.118,daniel
89.07965803146362,-0.602,0.935,0.059,1.114,daniel
89.11354517936707,-0.625,0.82,0.096,1.035,daniel
89.11380410194397,-0.625,0.82,0.096,1.035,daniel
89.11401700973511,-0.625,0.82,0.096,1.035,daniel
89.11816501617432,-0.612,0.774,0.076,0.99,daniel
89.12878584861755,-0.569,0.746,0.065,0.94,daniel
89.13889408111572,-0.499,0.714,0.087,0.875,daniel
89.14947295188904,-0.441,0.663,0.13,0.807,daniel
89.15949201583862,-0.411,0.601,0.146,0.743,daniel
89.16938805580139,-0.399,0.596,0.147,0.732,daniel
89.18001818656921,-0.388,0.611,0.159,0.741,daniel
89.21448302268982,-0.356,0.496,0.14,0.626,daniel
89.21473097801208,-0.356,0.496,0.14,0.626,daniel
89.21496105194092,-0.356,0.496,0.14,0.626,daniel
89.21850991249084,-0.321,0.477,0.116,0.587,daniel
89.229012966156,-0.248,0.446,0.109,0.522,daniel
89.23932814598083,-0.195,0.422,0.125,0.481,daniel
89.24986720085144,-0.168,0.411,0.122,0.46,daniel
89.25969910621643,-0.136,0.408,0.11,0.444,daniel
89.26983904838562,-0.111,0.417,0.112,0.446,daniel
89.28011798858643,-0.144,0.427,0.143,0.473,daniel
89.29356408119202,-0.202,0.425,0.171,0.501,daniel
89.31716299057007,-0.34,0.446,0.246,0.612,daniel
89.31742691993713,-0.34,0.446,0.246,0.612,daniel
89.31921100616455,-0.414,0.468,0.314,0.699,daniel
89.33490920066833,-0.509,0.482,0.397,0.806,daniel
89.33944487571716,-0.597,0.501,0.491,0.921,daniel
89.34971213340759,-0.699,0.531,0.564,1.043,daniel
89.35992789268494,-0.899,0.648,0.599,1.26,daniel
89.37008118629456,-1.212,0.928,0.62,1.648,daniel
89.3804771900177,-1.521,1.221,0.578,2.034,daniel
89.41441798210144,-1.238,1.098,0.429,1.709,daniel
89.41466999053955,-1.238,1.098,0.429,1.709,daniel
89.4149010181427,-1.238,1.098,0.429,1.709,daniel
89.41917395591736,-1.077,0.851,0.421,1.436,daniel
89.42974305152893,-0.957,0.739,0.369,1.264,daniel
89.44013094902039,-0.915,0.874,0.259,1.292,daniel
89.45025086402893,-0.919,1.099,0.126,1.438,daniel
89.46037411689758,-0.875,1.309,0.075,1.576,daniel
89.47053098678589,-0.759,1.548,0.046,1.725,daniel
89.48096585273743,-0.618,1.682,-0.004,1.792,daniel
89.51527285575867,-0.271,0.946,0.147,0.995,daniel
